Property_Key,Property_ID,Latitude,Longitude,Accommodates,Availability_365,Has_availability,Reviews_per_month,Calculated_host_listings_count,Property_type,Instant_bookable,Room_type,Bedrooms,Beds,Bathrooms,Bathrooms_type,Neighbourhood_cleansed,Number_of_reviews,Number_of_reviews_l30d,Review_scores_rating,Review_scores_accuracy,Review_scores_checkin,Review_scores_cleanliness,Review_scores_communication,Review_scores_location,Review_scores_value,Amenity_Count,avgprice
1852,2540900,52.37296,4.8509,2,7,1,0.69,1,Entire apartment,1,Entire home/apt,1,1,1,shared bath(s),De Baarsjes - Oud-West,54,0,94,10,10,9,10,9,9,23,102.5013699
1853,2573607,52.37781,4.87688,2,0,1,0.31,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),Westerpark,24,0,96,10,10,9,10,10,10,11,99
1854,2657675,52.35365,4.89967,2,0,1,0.71,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),De Pijp - Rivierenbuurt,56,0,95,10,10,9,10,10,9,21,145
1855,2668398,52.36541,4.85198,3,1,1,1.04,1,Entire apartment,0,Entire home/apt,2,3,1,shared bath(s),De Baarsjes - Oud-West,81,0,98,10,10,10,10,10,10,34,150.6284153
1856,2708012,52.37154,4.90365,2,0,1,0.2,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),Centrum-Oost,16,0,98,10,10,10,10,10,10,13,125
1857,2708863,52.36355,4.85052,4,1,1,1.09,1,Entire apartment,0,Entire home/apt,3,4,1.5,shared bath(s),De Baarsjes - Oud-West,86,0,97,10,10,10,10,10,10,21,262.6229508
1858,2726640,52.38825,4.88217,2,0,1,0.22,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),Westerpark,17,0,96,10,10,10,10,9,9,24,89
1859,2800887,52.37285,4.85539,2,339,1,0.32,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),De Baarsjes - Oud-West,20,0,96,10,10,10,10,9,9,8,110
1860,2859942,52.37393,4.87916,2,0,1,0.36,1,Entire apartment,0,Entire home/apt,1,2,1,shared bath(s),Centrum-West,28,0,87,10,9,9,9,10,9,15,107.6065574
1861,2941459,52.38879,4.88713,4,0,1,0.27,1,Entire apartment,0,Entire home/apt,2,2,1,shared bath(s),Westerpark,4,0,90,10,10,9,10,10,9,22,156.4808743
